vehicle_type,Maker,year,quarter,year_quarter,registrations,registrations_last_quarter,QoQ_growth_%
3W,MAA TARINI ENGINEERING,2024,2,2024-Q2,0,7,100
3W,MAA TARINI ENGINEERING,2024,3,2024-Q3,4,0,
3W,MAA TARINI ENGINEERING,2024,4,2024-Q4,3,4,25
3W,MAA TARINI ENGINEERING CUTTACK KANDARPUR,2024,1,2024-Q1,0,,
3W,MAA TARINI ENGINEERING CUTTACK KANDARPUR,2024,2,2024-Q2,1,0,
3W,MAA TARINI ENGINEERING CUTTACK KANDARPUR,2024,3,2024-Q3,0,1,100
3W,MAA TARINI ENGINEERING CUTTACK KANDARPUR,2024,4,2024-Q4,1,0,
3W,MAAA MANASA TRAILOR WORKS,2024,1,2024-Q1,2,,
3W,MAAA MANASA TRAILOR WORKS,2024,2,2024-Q2,2,2,0
3W,MAAA MANASA TRAILOR WORKS,2024,3,2024-Q3,0,2,100
3W,MAAA MANASA TRAILOR WORKS,2024,4,2024-Q4,1,0,
3W,MAC AUTO INDIA,2023,1,2023-Q1,122,,
3W,MAC AUTO INDIA,2023,2,2023-Q2,186,122,52.46
3W,MAC AUTO INDIA,2023,3,2023-Q3,110,186,40.86
3W,MAC AUTO INDIA,2023,4,2023-Q4,146,110,32.73
3W,MAC AUTO INDIA,2024,1,2024-Q1,175,146,19.86
3W,MAC AUTO INDIA,2024,2,2024-Q2,211,175,20.57
3W,MAC AUTO INDIA,2024,3,2024-Q3,61,211,71.09
3W,MAC AUTO INDIA,2024,4,2024-Q4,214,61,250.82
3W,MAC AUTO INDIA,2025,1,2025-Q1,181,214,15.42
3W,MAC AUTO INDIA,2025,2,2025-Q2,27,181,85.08
3W,MAC AUTO INDIA,2025,3,2025-Q3,222,27,722.22
3W,MAC AUTO INDIA,2025,4,2025-Q4,0,222,100
3W,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),2024,1,2024-Q1,15,,
3W,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),2024,2,2024-Q2,8,15,46.67
3W,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),2024,3,2024-Q3,7,8,12.5
3W,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),2024,4,2024-Q4,15,7,114.29
3W,MAC INTERNATIONAL (IMPORTER: SUNDAK SOLAR),2024,1,2024-Q1,0,,
3W,MAC INTERNATIONAL (IMPORTER: SUNDAK SOLAR),2024,2,2024-Q2,0,0,
3W,MAC INTERNATIONAL (IMPORTER: SUNDAK SOLAR),2024,3,2024-Q3,1,0,
3W,MAC INTERNATIONAL (IMPORTER: SUNDAK SOLAR),2024,4,2024-Q4,0,1,100
3W,MAC INTERNATIONAL (IMPORTER:HONESTY),2024,1,2024-Q1,1,,
3W,MAC INTERNATIONAL (IMPORTER:HONESTY),2024,2,2024-Q2,0,1,100
3W,MAC INTERNATIONAL (IMPORTER:HONESTY),2024,3,2024-Q3,0,0,
3W,MAC INTERNATIONAL (IMPORTER:HONESTY),2024,4,2024-Q4,0,0,
3W,MACNEILL ENGINEERING LIMITED,2024,1,2024-Q1,0,,
3W,MACNEILL ENGINEERING LIMITED,2024,2,2024-Q2,0,0,
3W,MACNEILL ENGINEERING LIMITED,2024,3,2024-Q3,1,0,
3W,MACNEILL ENGINEERING LIMITED,2024,4,2024-Q4,0,1,100
3W,MACONS EQUIPMENTS PVT LTD,2024,1,2024-Q1,1,,
3W,MACONS EQUIPMENTS PVT LTD,2024,2,2024-Q2,0,1,100
3W,MACONS EQUIPMENTS PVT LTD,2024,3,2024-Q3,1,0,
3W,MACONS EQUIPMENTS PVT LTD,2024,4,2024-Q4,0,1,100
3W,MADHU AUTOMOBILES LTD,2024,1,2024-Q1,5,,
3W,MADHU AUTOMOBILES LTD,2024,2,2024-Q2,4,5,20
3W,MADHU AUTOMOBILES LTD,2024,3,2024-Q3,3,4,25
3W,MADHU AUTOMOBILES LTD,2024,4,2024-Q4,0,3,100
3W,MAHABIR INDUSTRIES,2024,1,2024-Q1,2,,
3W,MAHABIR INDUSTRIES,2024,2,2024-Q2,2,2,0
3W,MAHABIR INDUSTRIES,2024,3,2024-Q3,0,2,100
3W,MAHABIR INDUSTRIES,2024,4,2024-Q4,0,0,
3W,MAHAK TEEN UDYOG,2024,1,2024-Q1,0,,
3W,MAHAK TEEN UDYOG,2024,2,2024-Q2,0,0,
3W,MAHAK TEEN UDYOG,2024,3,2024-Q3,19,0,
3W,MAHAK TEEN UDYOG,2024,4,2024-Q4,101,19,431.58
3W,MAHAK TEEN UDYOG,2025,1,2025-Q1,124,101,22.77
3W,MAHAK TEEN UDYOG,2025,2,2025-Q2,201,124,62.1
3W,MAHAK TEEN UDYOG,2025,3,2025-Q3,483,201,140.3
3W,MAHAK TEEN UDYOG,2025,4,2025-Q4,0,483,100
3W,MAHALAXMI INDUSTRIES,2024,1,2024-Q1,0,,
3W,MAHALAXMI INDUSTRIES,2024,2,2024-Q2,0,0,
3W,MAHALAXMI INDUSTRIES,2024,3,2024-Q3,0,0,
3W,MAHALAXMI INDUSTRIES,2024,4,2024-Q4,3,0,
3W,MAHAVIR AGRO EQUIPMENTS,2024,1,2024-Q1,0,,
3W,MAHAVIR AGRO EQUIPMENTS,2024,2,2024-Q2,0,0,
3W,MAHAVIR AGRO EQUIPMENTS,2024,3,2024-Q3,2,0,
3W,MAHAVIR AGRO EQUIPMENTS,2024,4,2024-Q4,0,2,100
3W,MAHAVIR TRACTOR AND IMPLEMENTS,2024,1,2024-Q1,1,,
3W,MAHAVIR TRACTOR AND IMPLEMENTS,2024,2,2024-Q2,0,1,100
3W,MAHAVIR TRACTOR AND IMPLEMENTS,2024,3,2024-Q3,142,0,
3W,MAHAVIR TRACTOR AND IMPLEMENTS,2024,4,2024-Q4,265,142,86.62
3W,MAHESH ENGINEERING WORKS,2024,1,2024-Q1,0,,
3W,MAHESH ENGINEERING WORKS,2024,2,2024-Q2,1,0,
3W,MAHESH ENGINEERING WORKS,2024,3,2024-Q3,1,1,0
3W,MAHESH ENGINEERING WORKS,2024,4,2024-Q4,0,1,100
3W,MAHI ENTERPRISES,2023,1,2023-Q1,32,,
3W,MAHI ENTERPRISES,2023,2,2023-Q2,23,32,28.12
3W,MAHI ENTERPRISES,2023,3,2023-Q3,4,23,82.61
3W,MAHI ENTERPRISES,2023,4,2023-Q4,1,4,75
3W,MAHI ENTERPRISES,2024,1,2024-Q1,1,1,0
3W,MAHI ENTERPRISES,2024,2,2024-Q2,0,1,100
3W,MAHI ENTERPRISES,2024,3,2024-Q3,0,0,
3W,MAHI ENTERPRISES,2024,4,2024-Q4,0,0,
3W,MAHINDRA & MAHINDRA LIMITED,2023,1,2023-Q1,0,,
3W,MAHINDRA & MAHINDRA LIMITED,2023,2,2023-Q2,0,0,
3W,MAHINDRA & MAHINDRA LIMITED,2023,3,2023-Q3,0,0,
3W,MAHINDRA & MAHINDRA LIMITED,2023,4,2023-Q4,778,0,
3W,MAHINDRA & MAHINDRA LIMITED,2024,1,2024-Q1,0,778,100
3W,MAHINDRA & MAHINDRA LIMITED,2024,2,2024-Q2,0,0,
3W,MAHINDRA & MAHINDRA LIMITED,2024,3,2024-Q3,0,0,
3W,MAHINDRA & MAHINDRA LIMITED,2024,4,2024-Q4,0,0,
3W,MAHINDRA & MAHINDRA LIMITED,2025,1,2025-Q1,89,0,
3W,MAHINDRA & MAHINDRA LIMITED,2025,2,2025-Q2,69,89,22.47
3W,MAHINDRA & MAHINDRA LIMITED,2025,3,2025-Q3,186,69,169.57
3W,MAHINDRA & MAHINDRA LIMITED,2025,4,2025-Q4,0,186,100
3W,MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),2024,1,2024-Q1,0,,
3W,MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),2024,2,2024-Q2,0,0,
3W,MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),2024,3,2024-Q3,0,0,
3W,MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),2024,4,2024-Q4,0,0,
3W,MAHINDRA & MAHINDRA LIMITED (TRACTOR),2024,1,2024-Q1,0,,
3W,MAHINDRA & MAHINDRA LIMITED (TRACTOR),2024,2,2024-Q2,0,0,
3W,MAHINDRA & MAHINDRA LIMITED (TRACTOR),2024,3,2024-Q3,0,0,
3W,MAHINDRA & MAHINDRA LIMITED (TRACTOR),2024,4,2024-Q4,0,0,
3W,MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION,2024,1,2024-Q1,46,,
3W,MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION,2024,2,2024-Q2,40,46,13.04
3W,MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION,2024,3,2024-Q3,46,40,15
3W,MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION,2024,4,2024-Q4,80,46,73.91
3W,MAHINDRA DEFENCE SYSTEMS LTD,2024,1,2024-Q1,7,,
3W,MAHINDRA DEFENCE SYSTEMS LTD,2024,2,2024-Q2,6,7,14.29
3W,MAHINDRA DEFENCE SYSTEMS LTD,2024,3,2024-Q3,6,6,0
3W,MAHINDRA DEFENCE SYSTEMS LTD,2024,4,2024-Q4,0,6,100
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,2023,1,2023-Q1,936,,
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,2023,2,2023-Q2,560,936,40.17
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,2023,3,2023-Q3,125,560,77.68
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,2023,4,2023-Q4,26,125,79.2
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,2024,1,2024-Q1,40,26,53.85
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,2024,2,2024-Q2,20,40,50
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,2024,3,2024-Q3,9,20,55
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,2024,4,2024-Q4,14,9,55.56
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,2025,1,2025-Q1,6,14,57.14
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,2025,2,2025-Q2,16,6,166.67
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,2025,3,2025-Q3,26,16,62.5
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,2025,4,2025-Q4,0,26,100
3W,MAHINDRA GUJARAT TRACTOR LIMITED,2024,1,2024-Q1,0,,
3W,MAHINDRA GUJARAT TRACTOR LIMITED,2024,2,2024-Q2,1,0,
3W,MAHINDRA GUJARAT TRACTOR LIMITED,2024,3,2024-Q3,0,1,100
3W,MAHINDRA GUJARAT TRACTOR LIMITED,2024,4,2024-Q4,0,0,
3W,MAHINDRA LAST MILE MOBILITY LTD,2023,1,2023-Q1,0,,
3W,MAHINDRA LAST MILE MOBILITY LTD,2023,2,2023-Q2,0,0,
3W,MAHINDRA LAST MILE MOBILITY LTD,2023,3,2023-Q3,89,0,
3W,MAHINDRA LAST MILE MOBILITY LTD,2023,4,2023-Q4,0,89,100
3W,MAHINDRA LAST MILE MOBILITY LTD,2024,1,2024-Q1,0,0,
3W,MAHINDRA LAST MILE MOBILITY LTD,2024,2,2024-Q2,0,0,
3W,MAHINDRA LAST MILE MOBILITY LTD,2024,3,2024-Q3,0,0,
3W,MAHINDRA LAST MILE MOBILITY LTD,2024,4,2024-Q4,0,0,
3W,MAHINDRA LAST MILE MOBILITY LTD,2025,1,2025-Q1,0,0,
3W,MAHINDRA LAST MILE MOBILITY LTD,2025,2,2025-Q2,0,0,
3W,MAHINDRA LAST MILE MOBILITY LTD,2025,3,2025-Q3,0,0,
3W,MAHINDRA LAST MILE MOBILITY LTD,2025,4,2025-Q4,0,0,
3W,MAHTAB BODY MAKER,2023,1,2023-Q1,139,,
3W,MAHTAB BODY MAKER,2023,2,2023-Q2,171,139,23.02
3W,MAHTAB BODY MAKER,2023,3,2023-Q3,191,171,11.7
3W,MAHTAB BODY MAKER,2023,4,2023-Q4,277,191,45.03
3W,MAHTAB BODY MAKER,2024,1,2024-Q1,281,277,1.44
3W,MAHTAB BODY MAKER,2024,2,2024-Q2,214,281,23.84
3W,MAHTAB BODY MAKER,2024,3,2024-Q3,273,214,27.57
3W,MAHTAB BODY MAKER,2024,4,2024-Q4,239,273,12.45
3W,MAHTAB BODY MAKER,2025,1,2025-Q1,223,239,6.69
3W,MAHTAB BODY MAKER,2025,2,2025-Q2,288,223,29.15
3W,MAHTAB BODY MAKER,2025,3,2025-Q3,763,288,164.93
3W,MAHTAB BODY MAKER,2025,4,2025-Q4,0,763,100
3W,MALAK TECHNO PVT LTD,2023,1,2023-Q1,0,,
3W,MALAK TECHNO PVT LTD,2023,2,2023-Q2,18,0,
3W,MALAK TECHNO PVT LTD,2023,3,2023-Q3,15,18,16.67
3W,MALAK TECHNO PVT LTD,2023,4,2023-Q4,19,15,26.67
3W,MALAK TECHNO PVT LTD,2024,1,2024-Q1,34,19,78.95
3W,MALAK TECHNO PVT LTD,2024,2,2024-Q2,14,34,58.82
3W,MALAK TECHNO PVT LTD,2024,3,2024-Q3,10,14,28.57
3W,MALAK TECHNO PVT LTD,2024,4,2024-Q4,14,10,40
3W,MALAK TECHNO PVT LTD,2025,1,2025-Q1,9,14,35.71
3W,MALAK TECHNO PVT LTD,2025,2,2025-Q2,9,9,0
3W,MALAK TECHNO PVT LTD,2025,3,2025-Q3,20,9,122.22
3W,MALAK TECHNO PVT LTD,2025,4,2025-Q4,0,20,100
3W,MALI ENTERPRISES PVT LTD,2023,1,2023-Q1,4,,
3W,MALI ENTERPRISES PVT LTD,2023,2,2023-Q2,3,4,25
3W,MALI ENTERPRISES PVT LTD,2023,3,2023-Q3,2,3,33.33
3W,MALI ENTERPRISES PVT LTD,2023,4,2023-Q4,1,2,50
3W,MALI ENTERPRISES PVT LTD,2024,1,2024-Q1,1,1,0
3W,MALI ENTERPRISES PVT LTD,2024,2,2024-Q2,1,1,0
3W,MALI ENTERPRISES PVT LTD,2024,3,2024-Q3,10,1,900
3W,MALI ENTERPRISES PVT LTD,2024,4,2024-Q4,20,10,100
3W,MALI ENTERPRISES PVT LTD,2025,1,2025-Q1,18,20,10
3W,MALI ENTERPRISES PVT LTD,2025,2,2025-Q2,101,18,461.11
3W,MALI ENTERPRISES PVT LTD,2025,3,2025-Q3,263,101,160.4
3W,MALI ENTERPRISES PVT LTD,2025,4,2025-Q4,0,263,100
3W,MALKIT AGRO TECH PVT. LTD,2024,1,2024-Q1,257,,
3W,MALKIT AGRO TECH PVT. LTD,2024,2,2024-Q2,142,257,44.75
3W,MALKIT AGRO TECH PVT. LTD,2024,3,2024-Q3,143,142,0.7
3W,MALKIT AGRO TECH PVT. LTD,2024,4,2024-Q4,173,143,20.98
3W,MAN TRUCKS INDIA PVT. LTD.,2024,1,2024-Q1,0,,
3W,MAN TRUCKS INDIA PVT. LTD.,2024,2,2024-Q2,0,0,
3W,MAN TRUCKS INDIA PVT. LTD.,2024,3,2024-Q3,3,0,
3W,MAN TRUCKS INDIA PVT. LTD.,2024,4,2024-Q4,0,3,100
3W,MANDEEP ENGINEERING WORKS,2024,1,2024-Q1,14,,
3W,MANDEEP ENGINEERING WORKS,2024,2,2024-Q2,0,14,100
3W,MANDEEP ENGINEERING WORKS,2024,3,2024-Q3,0,0,
3W,MANDEEP ENGINEERING WORKS,2024,4,2024-Q4,0,0,
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,2023,1,2023-Q1,0,,
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,2023,2,2023-Q2,31,0,
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,2023,3,2023-Q3,53,31,70.97
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,2023,4,2023-Q4,215,53,305.66
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,2024,1,2024-Q1,301,215,40
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,2024,2,2024-Q2,328,301,8.97
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,2024,3,2024-Q3,351,328,7.01
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,2024,4,2024-Q4,277,351,21.08
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,2025,1,2025-Q1,226,277,18.41
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,2025,2,2025-Q2,192,226,15.04
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,2025,3,2025-Q3,580,192,202.08
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,2025,4,2025-Q4,0,580,100
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,2023,1,2023-Q1,80,,
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,2023,2,2023-Q2,94,80,17.5
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,2023,3,2023-Q3,131,94,39.36
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,2023,4,2023-Q4,128,131,2.29
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,2024,1,2024-Q1,111,128,13.28
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,2024,2,2024-Q2,56,111,49.55
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,2024,3,2024-Q3,56,56,0
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,2024,4,2024-Q4,34,56,39.29
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,2025,1,2025-Q1,19,34,44.12
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,2025,2,2025-Q2,11,19,42.11
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,2025,3,2025-Q3,36,11,227.27
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,2025,4,2025-Q4,0,36,100
3W,MANITA CITY MOTORS LLP,2023,1,2023-Q1,334,,
3W,MANITA CITY MOTORS LLP,2023,2,2023-Q2,394,334,17.96
3W,MANITA CITY MOTORS LLP,2023,3,2023-Q3,486,394,23.35
3W,MANITA CITY MOTORS LLP,2023,4,2023-Q4,596,486,22.63
3W,MANITA CITY MOTORS LLP,2024,1,2024-Q1,497,596,16.61
3W,MANITA CITY MOTORS LLP,2024,2,2024-Q2,558,497,12.27
3W,MANITA CITY MOTORS LLP,2024,3,2024-Q3,694,558,24.37
3W,MANITA CITY MOTORS LLP,2024,4,2024-Q4,615,694,11.38
3W,MANITA CITY MOTORS LLP,2025,1,2025-Q1,559,615,9.11
3W,MANITA CITY MOTORS LLP,2025,2,2025-Q2,859,559,53.67
3W,MANITA CITY MOTORS LLP,2025,3,2025-Q3,355,859,58.67
3W,MANITA CITY MOTORS LLP,2025,4,2025-Q4,0,355,100
3W,MANITOU EQUIPMENT INDIA PVT LTD,2024,1,2024-Q1,159,,
3W,MANITOU EQUIPMENT INDIA PVT LTD,2024,2,2024-Q2,138,159,13.21
3W,MANITOU EQUIPMENT INDIA PVT LTD,2024,3,2024-Q3,124,138,10.14
3W,MANITOU EQUIPMENT INDIA PVT LTD,2024,4,2024-Q4,125,124,0.81
3W,MANKU AGRO TECH PVT LTD,2024,1,2024-Q1,711,,
3W,MANKU AGRO TECH PVT LTD,2024,2,2024-Q2,357,711,49.79
3W,MANKU AGRO TECH PVT LTD,2024,3,2024-Q3,285,357,20.17
3W,MANKU AGRO TECH PVT LTD,2024,4,2024-Q4,429,285,50.53
3W,MANKU AGRO TECH. PVT. LTD.,2024,1,2024-Q1,0,,
3W,MANKU AGRO TECH. PVT. LTD.,2024,2,2024-Q2,0,0,
3W,MANKU AGRO TECH. PVT. LTD.,2024,3,2024-Q3,1,0,
3W,MANKU AGRO TECH. PVT. LTD.,2024,4,2024-Q4,0,1,100
3W,MANMOHAN KAUR,2023,1,2023-Q1,5,,
3W,MANMOHAN KAUR,2023,2,2023-Q2,3,5,40
3W,MANMOHAN KAUR,2023,3,2023-Q3,22,3,633.33
3W,MANMOHAN KAUR,2023,4,2023-Q4,34,22,54.55
3W,MANMOHAN KAUR,2024,1,2024-Q1,39,34,14.71
3W,MANMOHAN KAUR,2024,2,2024-Q2,24,39,38.46
3W,MANMOHAN KAUR,2024,3,2024-Q3,9,24,62.5
3W,MANMOHAN KAUR,2024,4,2024-Q4,6,9,33.33
3W,MANMOHAN KAUR,2025,1,2025-Q1,7,6,16.67
3W,MANMOHAN KAUR,2025,2,2025-Q2,4,7,42.86
3W,MANMOHAN KAUR,2025,3,2025-Q3,13,4,225
3W,MANMOHAN KAUR,2025,4,2025-Q4,0,13,100
3W,MANOJ ENGINEERING WORKS,2024,1,2024-Q1,0,,
3W,MANOJ ENGINEERING WORKS,2024,2,2024-Q2,0,0,
3W,MANOJ ENGINEERING WORKS,2024,3,2024-Q3,3,0,
3W,MANOJ ENGINEERING WORKS,2024,4,2024-Q4,1,3,66.67
3W,MANPREET AGRO INDUSTRIES,2024,1,2024-Q1,3,,
3W,MANPREET AGRO INDUSTRIES,2024,2,2024-Q2,0,3,100
3W,MANPREET AGRO INDUSTRIES,2024,3,2024-Q3,3,0,
3W,MANPREET AGRO INDUSTRIES,2024,4,2024-Q4,0,3,100
3W,MARATHWADA QUALITY TRAILER,2024,1,2024-Q1,2,,
3W,MARATHWADA QUALITY TRAILER,2024,2,2024-Q2,2,2,0
3W,MARATHWADA QUALITY TRAILER,2024,3,2024-Q3,1,2,50
3W,MARATHWADA QUALITY TRAILER,2024,4,2024-Q4,13,1,1200
3W,MARCEL BOSCHUNG (IMPORTER:KAM-AVIDA ENVIRO),2024,1,2024-Q1,0,,
3W,MARCEL BOSCHUNG (IMPORTER:KAM-AVIDA ENVIRO),2024,2,2024-Q2,0,0,
3W,MARCEL BOSCHUNG (IMPORTER:KAM-AVIDA ENVIRO),2024,3,2024-Q3,0,0,
3W,MARCEL BOSCHUNG (IMPORTER:KAM-AVIDA ENVIRO),2024,4,2024-Q4,5,0,
3W,MARINE NAVAIDS & SOLAR AUTO PVT LTD,2023,1,2023-Q1,1,,
3W,MARINE NAVAIDS & SOLAR AUTO PVT LTD,2023,2,2023-Q2,3,1,200
3W,MARINE NAVAIDS & SOLAR AUTO PVT LTD,2023,3,2023-Q3,0,3,100
3W,MARINE NAVAIDS & SOLAR AUTO PVT LTD,2023,4,2023-Q4,0,0,
3W,MARKUS,2023,1,2023-Q1,3,,
3W,MARKUS,2023,2,2023-Q2,3,3,0
3W,MARKUS,2023,3,2023-Q3,10,3,233.33
3W,MARKUS,2023,4,2023-Q4,11,10,10
3W,MARKUS,2024,1,2024-Q1,15,11,36.36
3W,MARKUS,2024,2,2024-Q2,17,15,13.33
3W,MARKUS,2024,3,2024-Q3,11,17,35.29
3W,MARKUS,2024,4,2024-Q4,12,11,9.09
3W,MARKUS,2025,1,2025-Q1,8,12,33.33
3W,MARKUS,2025,2,2025-Q2,1,8,87.5
3W,MARKUS,2025,3,2025-Q3,11,1,1000
3W,MARKUS,2025,4,2025-Q4,0,11,100
3W,MARSHAL MOTORS,2024,1,2024-Q1,1,,
3W,MARSHAL MOTORS,2024,2,2024-Q2,0,1,100
3W,MARSHAL MOTORS,2024,3,2024-Q3,0,0,
3W,MARSHAL MOTORS,2024,4,2024-Q4,0,0,
3W,MARTHWADA TRALIOR,2024,1,2024-Q1,3,,
3W,MARTHWADA TRALIOR,2024,2,2024-Q2,0,3,100
3W,MARTHWADA TRALIOR,2024,3,2024-Q3,1,0,
3W,MARTHWADA TRALIOR,2024,4,2024-Q4,1,1,0
3W,MARUTHISAN PVT LTD,2024,1,2024-Q1,57,,
3W,MARUTHISAN PVT LTD,2024,2,2024-Q2,29,57,49.12
3W,MARUTHISAN PVT LTD,2024,3,2024-Q3,18,29,37.93
3W,MARUTHISAN PVT LTD,2024,4,2024-Q4,39,18,116.67
3W,MARUTI BHIWANI E AUTOMOBILES,2024,1,2024-Q1,0,,
3W,MARUTI BHIWANI E AUTOMOBILES,2024,2,2024-Q2,0,0,
3W,MARUTI BHIWANI E AUTOMOBILES,2024,3,2024-Q3,1,0,
3W,MARUTI BHIWANI E AUTOMOBILES,2024,4,2024-Q4,30,1,2900
3W,MARUTI BHIWANI E AUTOMOBILES,2025,1,2025-Q1,29,30,3.33
3W,MARUTI BHIWANI E AUTOMOBILES,2025,2,2025-Q2,38,29,31.03
3W,MARUTI BHIWANI E AUTOMOBILES,2025,3,2025-Q3,105,38,176.32
3W,MARUTI BHIWANI E AUTOMOBILES,2025,4,2025-Q4,0,105,100
3W,MARUTI INDUSTRIES,2024,1,2024-Q1,0,,
3W,MARUTI INDUSTRIES,2024,2,2024-Q2,0,0,
3W,MARUTI INDUSTRIES,2024,3,2024-Q3,3,0,
3W,MARUTI INDUSTRIES,2024,4,2024-Q4,2,3,33.33
3W,MARUTI SUZUKI INDIA LTD,2023,1,2023-Q1,1,,
3W,MARUTI SUZUKI INDIA LTD,2023,2,2023-Q2,0,1,100
3W,MARUTI SUZUKI INDIA LTD,2023,3,2023-Q3,0,0,
3W,MARUTI SUZUKI INDIA LTD,2023,4,2023-Q4,0,0,
3W,MARUTI SUZUKI INDIA LTD,2024,1,2024-Q1,0,0,
3W,MARUTI SUZUKI INDIA LTD,2024,2,2024-Q2,0,0,
3W,MARUTI SUZUKI INDIA LTD,2024,3,2024-Q3,0,0,
3W,MARUTI SUZUKI INDIA LTD,2024,4,2024-Q4,0,0,
3W,MARUTI UDYOG LTD,2024,1,2024-Q1,93,,
3W,MARUTI UDYOG LTD,2024,2,2024-Q2,73,93,21.51
3W,MARUTI UDYOG LTD,2024,3,2024-Q3,22,73,69.86
3W,MARUTI UDYOG LTD,2024,4,2024-Q4,20,22,9.09
3W,MASERATI S.P.A,2024,1,2024-Q1,1,,
3W,MASERATI S.P.A,2024,2,2024-Q2,3,1,200
3W,MASERATI S.P.A,2024,3,2024-Q3,5,3,66.67
3W,MASERATI S.P.A,2024,4,2024-Q4,7,5,40
3W,MASTO INDUSTRIES PVT LTD,2024,1,2024-Q1,0,,
3W,MASTO INDUSTRIES PVT LTD,2024,2,2024-Q2,0,0,
3W,MASTO INDUSTRIES PVT LTD,2024,3,2024-Q3,6,0,
3W,MASTO INDUSTRIES PVT LTD,2024,4,2024-Q4,9,6,50
3W,MASTO INDUSTRIES PVT LTD,2025,1,2025-Q1,7,9,22.22
3W,MASTO INDUSTRIES PVT LTD,2025,2,2025-Q2,0,7,100
3W,MASTO INDUSTRIES PVT LTD,2025,3,2025-Q3,7,0,
3W,MASTO INDUSTRIES PVT LTD,2025,4,2025-Q4,0,7,100
3W,MATHARU ENGINEERING AGRI WORKS,2024,1,2024-Q1,20,,
3W,MATHARU ENGINEERING AGRI WORKS,2024,2,2024-Q2,10,20,50
3W,MATHARU ENGINEERING AGRI WORKS,2024,3,2024-Q3,5,10,50
3W,MATHARU ENGINEERING AGRI WORKS,2024,4,2024-Q4,7,5,40
3W,MATHARU ENGINEERING WORKS,2024,1,2024-Q1,10,,
3W,MATHARU ENGINEERING WORKS,2024,2,2024-Q2,3,10,70
3W,MATHARU ENGINEERING WORKS,2024,3,2024-Q3,12,3,300
3W,MATHARU ENGINEERING WORKS,2024,4,2024-Q4,6,12,50
3W,MATTER MOTOR WORKS PVT LTD,2024,1,2024-Q1,0,,
3W,MATTER MOTOR WORKS PVT LTD,2024,2,2024-Q2,0,0,
3W,MATTER MOTOR WORKS PVT LTD,2024,3,2024-Q3,0,0,
3W,MATTER MOTOR WORKS PVT LTD,2024,4,2024-Q4,24,0,
3W,MAULIRAJ INDUSTRIES LLP,2024,1,2024-Q1,1,,
3W,MAULIRAJ INDUSTRIES LLP,2024,2,2024-Q2,0,1,100
3W,MAULIRAJ INDUSTRIES LLP,2024,3,2024-Q3,0,0,
3W,MAULIRAJ INDUSTRIES LLP,2024,4,2024-Q4,0,0,
