vehicle_type,Maker,year,quarter,year_quarter,registrations,registrations_last_quarter,QoQ_growth_%
2W,AMPERE VEHICLES PRIVATE LIMITED,2025,2,2025-Q2,48,73,34.25
2W,AMPERE VEHICLES PRIVATE LIMITED,2025,3,2025-Q3,143,48,197.92
2W,AMPERE VEHICLES PRIVATE LIMITED,2025,4,2025-Q4,0,143,100
2W,AMPERE VEHICLES PVT LTD,2023,1,2023-Q1,8,,
2W,AMPERE VEHICLES PVT LTD,2023,2,2023-Q2,0,8,100
2W,AMPERE VEHICLES PVT LTD,2023,3,2023-Q3,0,0,
2W,AMPERE VEHICLES PVT LTD,2023,4,2023-Q4,0,0,
2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2023,1,2023-Q1,9,,
2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2023,2,2023-Q2,5,9,44.44
2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2023,3,2023-Q3,12,5,140
2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2023,4,2023-Q4,25,12,108.33
2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2024,1,2024-Q1,7,25,72
2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2024,2,2024-Q2,14,7,100
2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2024,3,2024-Q3,11,14,21.43
2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2024,4,2024-Q4,2,11,81.82
2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2025,1,2025-Q1,4,2,100
2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2025,2,2025-Q2,0,4,100
2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2025,3,2025-Q3,4,0,
