sl_no,manufacturer,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total,vehicle_type,year
235,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),13.0,12.0,5.0,7.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,42.0,2W,2024
236,ANVITA AUTO TECH WORKS PVT LTD,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2W,2024
237,ASHNNI MOTORS PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,2W,2024
238,ATHER ENERGY LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2W,2024
239,ATUMOBILE PVT LTD,4.0,3.0,2.0,3.0,8.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,34.0,2W,2024
240,AYAAN ELECTRONIC PVT LTD,10.0,5.0,3.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,30.0,2W,2024
241,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2W,2024
242,BAJAJ AUTO LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2W,2024
243,BATTRE ELECTRIC MOBLITY PVT LTD,287.0,222.0,634.0,88.0,189.0,229.0,171.0,263.0,221.0,365.0,256.0,177.0,0.0,2W,2024
244,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,68.0,64.0,84.0,67.0,57.0,26.0,31.0,27.0,27.0,24.0,27.0,23.0,525.0,2W,2024
245,BGAUSS AUTO PRIVATE LIMITED,0.0,0.0,0.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2W,2024
246,BLIX CYCLES AND E-VEHICLES PVT LTD,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,2W,2024
247,BMW INDIA PVT LTD,578.0,484.0,556.0,648.0,574.0,532.0,534.0,528.0,561.0,784.0,651.0,481.0,0.0,2W,2024
248,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,36.0,28.0,59.0,28.0,41.0,56.0,73.0,77.0,62.0,214.0,94.0,83.0,851.0,2W,2024
249,BOUNCE ELECTRIC 1 PVT LTD,286.0,317.0,560.0,79.0,94.0,102.0,667.0,791.0,0.0,0.0,858.0,0.0,0.0,2W,2024
250,BRB MEXICO S.A DE C.V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2W,2024
251,BSA MOTORS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2W,2024
252,BU4 AUTO PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2W,2024
253,CHANDANA CORPORATION,20.0,14.0,16.0,18.0,20.0,8.0,8.0,9.0,8.0,9.0,19.0,15.0,164.0,2W,2024
254,CHETAK TECHNOLOGY LIMITED,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2W,2024
255,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),28.0,17.0,28.0,13.0,9.0,16.0,36.0,39.0,35.0,48.0,39.0,28.0,336.0,2W,2024
256,CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,5.0,5.0,1.0,23.0,2W,2024
257,CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2W,2024
258,CLASSIC (INDIA) MOTORS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2W,2024
259,CLASSIC LEGENDS PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2W,2024
260,DAO EVTECH PRIVATE LIMITED,15.0,12.0,21.0,12.0,6.0,4.0,2.0,3.0,3.0,0.0,0.0,2.0,80.0,2W,2024
261,DONGMA VEHICLE (IMPORTER: MERCURY METALS),0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,8.0,2W,2024
262,DUCATI INDIA PVT LTD,35.0,42.0,37.0,37.0,31.0,31.0,19.0,29.0,27.0,34.0,23.0,23.0,368.0,2W,2024
263,DUCATI MOTOR HOLDING S.P.A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2W,2024
264,DURGA FILTERS PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,2W,2024
265,E-ASHWA AUTOMOTIVE (HS 2W) PVT LTD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2W,2024
266,ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),0.0,5.0,18.0,11.0,5.0,3.0,2.0,2.0,4.0,1.0,6.0,2.0,59.0,2W,2024
267,ECO FUEL SYSTEMS (I) PVT LTD,29.0,18.0,10.0,14.0,22.0,20.0,12.0,14.0,12.0,14.0,17.0,10.0,192.0,2W,2024
268,EICHER MOTORS LTD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2W,2024
269,ELECTRECA VEHICLES,8.0,25.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,2W,2024
270,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,2W,2024
271,ELEGO MOTORS PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,8.0,5.0,29.0,2W,2024
272,ELTHOR ENERGY PRIVATE LIMITED,9.0,7.0,7.0,2.0,7.0,10.0,40.0,41.0,19.0,9.0,2.0,50.0,203.0,2W,2024
273,ENGTIAN ELECTRIC BIKE PVT LTD,46.0,26.0,41.0,11.0,39.0,37.0,33.0,36.0,42.0,61.0,55.0,31.0,458.0,2W,2024
274,ENIGMA AUTOMOBILES PVT LTD,2.0,2.0,0.0,1.0,0.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,16.0,2W,2024
275,E ROYCE MOTORS INDIA PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2W,2024
276,ESCORTS CONSTRUCTION EQUIPMENT LTD,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2W,2024
277,ESCORTS R&D CENTRE,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2W,2024
278,E-SPRINTO GREEN ENERGY PVT LTD,12.0,10.0,6.0,6.0,5.0,6.0,286.0,235.0,4.0,305.0,2.0,5.0,882.0,2W,2024
279,ESSEL ENERGY INFRA PVT LTD,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2W,2024
280,EVTRIC MOTORS PVT LTD,29.0,23.0,21.0,23.0,13.0,7.0,7.0,1.0,2.0,3.0,3.0,3.0,135.0,2W,2024
281,EXERVAL PVT LTD,0.0,4.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,14.0,2W,2024
282,FIADO INDUSTRIES PVT LTD,6.0,16.0,13.0,2.0,13.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,60.0,2W,2024
283,FSTMOTO (IMPORTER: AUTOICARE INNOVATION),9.0,1.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,22.0,2W,2024
284,FSTMOTO INTERNATIONAL (IMPORTER: TEDI (INDIA)),0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2W,2024
285,FUJIYAMA POWER INFRA PVT. LTD.,0.0,0.0,2.0,0.0,1.0,1.0,0.0,91.0,2.0,0.0,0.0,4.0,101.0,2W,2024
286,GAURA ELECTRIC VEHICLES PVT LTD,1.0,11.0,23.0,25.0,18.0,25.0,56.0,63.0,62.0,40.0,64.0,49.0,437.0,2W,2024
287,GODAWARI ELECTRIC MOTORS PVT LTD,35.0,35.0,27.0,23.0,40.0,38.0,45.0,50.0,96.0,181.0,119.0,61.0,750.0,2W,2024
288,GOGORO INDIA PVT LTD,0.0,10.0,0.0,35.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,115.0,2W,2024
289,GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2W,2024
290,GOREEN E-MOBILITY PVT LTD,136.0,128.0,176.0,149.0,115.0,147.0,89.0,53.0,25.0,194.0,26.0,134.0,0.0,2W,2024
291,GREAVES ELECTRIC MOBILITY PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2W,2024
292,GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),14.0,8.0,11.0,11.0,12.0,15.0,13.0,9.0,10.0,16.0,13.0,4.0,136.0,2W,2024
293,GUANGXI MEIBAO(IMPORTER: DYNAMO ELECTRIC),0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,4.0,14.0,2W,2024
