sl.no,Maker,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,     TOTAL     ,vehicle_type,year
1826,JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),5,2,2,0,0,0,1,1,0,0,0,1,12,3W,2024
1827,JIANGSU DALONG JIANHAO (IMPORTER: GREEN INDIA),0,0,0,0,0,0,0,0,1,0,0,0,1,3W,2024
1828,JIANGSU GUOWEI (IMPORTER:DELTA AUTOCORP LLP),0,0,0,0,0,0,0,0,1,0,0,0,1,3W,2024
1829,JIANGSU GUOWEI (IMPORTER:ELECTRO-TECH),0,5,1,0,0,1,0,0,0,0,0,0,7,3W,2024
1830,JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),2,0,3,1,0,4,0,0,4,1,0,5,20,3W,2024
1831,JIANGSU JINPENG (IMPORTER: KKL HITECH EV),1,2,5,4,0,0,4,3,3,1,1,3,27,3W,2024
1832,JIANGSU JINPENG (IMPORTER:RAFT MOTORS P. LTD),0,0,0,0,0,0,0,5,12,19,0,0,36,3W,2024
1833,JIANGSU SUNHOU (IMPORTER: SABOO TOR),1,0,1,0,0,0,0,1,0,0,0,2,5,3W,2024
1834,JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),6,0,3,1,0,1,0,0,0,1,1,0,13,3W,2024
1835,JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),0,1,0,0,0,1,0,0,0,0,0,0,2,3W,2024
1836,JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),19,21,20,26,7,22,6,4,5,8,6,3,147,3W,2024
