vehicle_type,Maker,date,year,month,registrations,registrations_last_year,YoY_growth_%,quarter,year_quarter,year_quarter_quarterly,registrations_last_quarter,QoQ_growth_%
2W,KAINING (HONGKONG) (IMPORTER: TOXMO ELECTRIC),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,KAWASAKI HEAVY INDUSTRIES LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,KINETIC MOTOR COMPANY LIMITED,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,KLB KOMAKI PVT LTD,2023-01-01 00:00:00,2023,1,308,,,1,2023-Q1,2023-Q1,,
2W,KTM MOTORRAD AG,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,KYTE ENERGY PVT. LTD.,2023-01-01 00:00:00,2023,1,19,,,1,2023-Q1,2023-Q1,,
2W,LECTRIX E VEHICLES PVT LTD,2023-01-01 00:00:00,2023,1,117,,,1,2023-Q1,2023-Q1,,
2W,LI-IONS ELEKTRIK SOLUTIONS PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,LML LIMITED,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,LOCAL TRAILER MANUFACTURER,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,M2GO ELECTRIC VEHICLE PVT LTD,2023-01-01 00:00:00,2023,1,1,,,1,2023-Q1,2023-Q1,,
2W,MAA LUXMI E-VEHICLES PVT. LTD.,2023-01-01 00:00:00,2023,1,3,,,1,2023-Q1,2023-Q1,,
2W,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,MAC INTERNATIONAL (IMPORTER:HONESTY),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,MAHINDRA & MAHINDRA LIMITED,2023-01-01 00:00:00,2023,1,3,,,1,2023-Q1,2023-Q1,,
2W,MAHINDRA TWO WHEELERS LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,MARUTHISAN PVT LTD,2023-01-01 00:00:00,2023,1,14,,,1,2023-Q1,2023-Q1,,
2W,MARUTI SUZUKI INDIA LTD,2023-01-01 00:00:00,2023,1,3,,,1,2023-Q1,2023-Q1,,
2W,MAULIRAJ INDUSTRIES LLP,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,MECPOWER MOBILITY PVT. LTD.,2023-01-01 00:00:00,2023,1,1,,,1,2023-Q1,2023-Q1,,
2W,MEW ELECTRICALS LIMITED,2023-01-01 00:00:00,2023,1,43,,,1,2023-Q1,2023-Q1,,
2W,MICROAUTOTECH PVT. LTD.,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,MIRAKLE 5 AUTOMOBILES PVT LTD,2023-01-01 00:00:00,2023,1,5,,,1,2023-Q1,2023-Q1,,
2W,MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,MOTOROYALE KINETIC PRIVATE LIMITED,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,NDS ECO MOTORS PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,NINGBO LONGJIA (IMPORTER: ADISHWAR AUTO),2023-01-01 00:00:00,2023,1,23,,,1,2023-Q1,2023-Q1,,
2W,NISIKI TECHNOLOGIES PVT LTD,2023-01-01 00:00:00,2023,1,12,,,1,2023-Q1,2023-Q1,,
2W,NUMEROS MOTORS PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,OBEN ELECTRIC VEHICLES PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,ODYSSE ELECTRIC VEHICLES PVT LTD,2023-01-01 00:00:00,2023,1,24,,,1,2023-Q1,2023-Q1,,
2W,OKAYA EV PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,OKINAWA AUTOTECH PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,OMJAY EV LIMITED,2023-01-01 00:00:00,2023,1,10,,,1,2023-Q1,2023-Q1,,
2W,OTHERS,2023-01-01 00:00:00,2023,1,153,,,1,2023-Q1,2023-Q1,,
2W,OZOTEC AUTOMOBILE PRIVATE LIMITED,2023-01-01 00:00:00,2023,1,30,,,1,2023-Q1,2023-Q1,,
2W,PIAGGIO VEHICLES PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,POLARIS INDIA PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,PORFITEL TECHNOLOGY (IMPORTER: AERORIDE),2023-01-01 00:00:00,2023,1,10,,,1,2023-Q1,2023-Q1,,
2W,PUR ENERGY PVT LTD,2023-01-01 00:00:00,2023,1,717,,,1,2023-Q1,2023-Q1,,
2W,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),2023-01-01 00:00:00,2023,1,91,,,1,2023-Q1,2023-Q1,,
2W,QICHENG VEHICLE (IMPORTER: AUTOICARE INNOVATION),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,QOOKEE TECHNOLOGIES (IMPORTER:VIKEBIKE INDIA),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,QUANTUM ENERGY LTD.,2023-01-01 00:00:00,2023,1,38,,,1,2023-Q1,2023-Q1,,
2W,REVOLT INTELLICORP PVT LTD,2023-01-01 00:00:00,2023,1,14,,,1,2023-Q1,2023-Q1,,
2W,RGM BUSINESS PLUS PVT LTD,2023-01-01 00:00:00,2023,1,94,,,1,2023-Q1,2023-Q1,,
2W,RIVER MOBILITY PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,ROWWET MOBILITY PVT LTD,2023-01-01 00:00:00,2023,1,15,,,1,2023-Q1,2023-Q1,,
2W,ROYAL AUTOMOBILES,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,ROYAL TRACTOR PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,ROYAL-ENFIELD (UNIT OF EICHER LTD),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,SAI SAMEER POWER ELECTRIC VEHICLES PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,SBTEK E MOTO PVT LTD,2023-01-01 00:00:00,2023,1,1,,,1,2023-Q1,2023-Q1,,
2W,SEEKA E MOTORS PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,SIMPLEENERGY PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,SMAP VEHICLES (IMPORTER: ELEGO MOTORS),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,SOKUDO ELECTRIC INDIA PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,SRIVARU MOTORS PVT LTD,2023-01-01 00:00:00,2023,1,1,,,1,2023-Q1,2023-Q1,,
